ano;id_municipio;id_municipio_nome;sigla_uf;sigla_uf_nome;populacao_atentida_esgoto;populacao_urbana;extensao_rede_esgoto;quantidade_localidade_esgoto;quantidade_economia_ativa_esgoto;volume_agua_tratada_importado;volume_esgoto_coletado;volume_esgoto_tratado;volume_esgoto_faturado;receita_operacional_direta_esgoto;despesa_servico_terceiro;despesa_servico_outro;despesas_juros_divida_excecao;investimento_recurso_proprio_prestador;investimento_recurso_nao_oneroso_prestador;investimento_recurso_nao_oneroso_estado;investimento_total_estado;natureza_juridica
2006;1300029;AlvarÃ£es;AM;Amazonas;;6463;;;;0.0;;;;;40719.42;0.0;0.0;7738.05;0.0;;;Sociedade de economia mista com administração pública | Administração pública direta
2003;1302405;LÃ¡brea;AM;Amazonas;;18436;;;;0.0;;;;;99180.0;0.0;0.0;45000.0;0.0;;;
2022;1301704;HumaitÃ¡;AM;Amazonas;;;;;;0.0;;;;;180000.0;0.0;0.0;0.0;0.0;0.0;0.0;Autarquia | Administração pública direta
2018;1302207;JuruÃ¡;AM;Amazonas;;7534;;;;0.0;;;;;91968.56;68840.0;0.0;18320.78;0.0;0.0;0.0;Sociedade de economia mista com administração pública | Administração pública direta
2012;1301159;Careiro da VÃ¡rzea;AM;Amazonas;;1042;;;;235.32;;;;;104712.01;;0.0;8327.6;0.0;;;Sociedade de economia mista com administração pública | Administração pública direta
2013;1303908;SÃ£o Paulo de OlivenÃ§a;AM;Amazonas;;15870;;;;0.0;;;;;168818.47;0.0;0.0;68717.93;0.0;0.0;0.0;
2009;1200385;PlÃ¡cido de Castro;AC;Acre;;9368;;;;0.0;;;;;177095.84;0.0;0.0;0.0;1645.45;;;Autarquia | Administração pública direta
2011;1300060;AmaturÃ¡;AM;Amazonas;;5047;;;;0.0;;;;;870.0;0.0;0.0;0.0;0.0;0.0;0.0;Administração pública direta
2010;1300607;Benjamin Constant;AM;Amazonas;;20138;;;;0.0;;;;;134374.18;3538.85;0.0;14272.5;1647.0;;0.0;Sociedade de economia mista com administração pública | Administração pública direta
2011;1302504;Manacapuru;AM;Amazonas;;60836;;;;0.0;;;;;0.0;0.0;0.0;460000.0;0.0;0.0;0.0;
2007;1303908;SÃ£o Paulo de OlivenÃ§a;AM;Amazonas;;12698;;;;0.0;;;;;33427.3;0.0;0.0;0.0;0.0;;;
2007;1304062;Tabatinga;AM;Amazonas;;30998;;;;0.0;;;;;192405.68;0.0;0.0;145202.15;0.0;;;
2017;1301506;Envira;AM;Amazonas;;12589;;;;0.0;;;;;40200.0;31520.0;0.0;;;0.0;0.0;Administração pública direta | Administração pública direta
2019;1303908;SÃ£o Paulo de OlivenÃ§a;AM;Amazonas;;17839;;;;0.0;;;;;68412.58;0.0;0.0;3756.2;0.0;0.0;0.0;
2016;1301407;EirunepÃ©;AM;Amazonas;;24910;;;;0.0;;;;;349747.35;0.0;0.0;59643.34;0.0;0.0;0.0;Sociedade de economia mista com administração pública | Administração pública direta
2016;1301951;Itamarati;AM;Amazonas;;4536;;;;0.0;;;;;38459.65;0.0;0.0;37990.93;0.0;0.0;0.0;Sociedade de economia mista com administração pública | Administração pública direta
2012;1400704;UiramutÃ£;RR;Roraima;;1191;;;;0.0;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
2007;1301001;Carauari;AM;Amazonas;;18404;;;;0.0;;;;;77268.05;0.0;0.0;14101.09;0.0;;;Sociedade de economia mista com administração pública
2010;1301159;Careiro da VÃ¡rzea;AM;Amazonas;;1000;;;;0.0;;;;;32717.23;164981.86;0.0;400.0;0.0;0.0;0.0;Sociedade de economia mista com administração pública | Administração pública direta
